"Id_recupcontra","Id_sesion","Fecha_Hora_Envio","Nueva_contraseña","Email_envio","Id_estado_codigo"
"1","270","2023-05-10 12:33:30","pablo110","marco52@test.com","Expirado"
"2","236","2024-01-17 01:01:08","monica791","raul985@test.com","Generado"
"3","177","2023-10-30 04:42:06","isabel612","sara175@domain.com","Revocado"
"4","550","2024-08-24 01:07:11","fernando848","fernando682@domain.com","Reintento"
"5","206","2024-08-18 18:36:32","laura909","maria382@domain.com","Revocado"
"6","289","2024-12-21 11:41:57","luz540","marco109@example.com","Expirado"
"7","55","2024-02-11 08:09:01","fernando305","roberto54@mail.com","Revocado"
"8","662","2023-03-16 15:58:46","marco229","pedro108@domain.com","Fallido"
"9","265","2023-10-23 16:16:52","elena739","julia864@mail.com","Cancelado"
"10","264","2023-01-22 09:26:39","laura611","marco7@domain.com","Generado"
"11","656","2024-10-15 19:55:40","luis813","raul868@test.com","Deshabilitado"
"12","519","2024-11-25 18:22:27","marco159","carlos797@domain.com","Pendiente"
"13","176","2024-09-25 10:46:07","pedro588","fernando998@mail.com","Revocado"
"14","58","2023-05-22 18:29:19","elena691","carlos945@mail.com","Revocado"
"15","908","2023-10-04 20:47:53","luz443","sara508@company.org","Revocado"
"16","340","2024-06-26 20:49:27","sara148","sara299@company.org","Cancelado"
"17","382","2023-02-17 05:22:00","maria541","monica10@test.com","Cancelado"
"18","599","2023-09-27 10:59:02","monica652","laura329@example.com","Deshabilitado"
"19","780","2024-06-29 00:03:44","marco488","luis686@company.org","Revocado"
"20","407","2024-08-04 02:30:00","pedro968","isabel229@domain.com","Generado"
"21","190","2024-07-01 19:00:27","pedro663","pedro179@example.com","Validado"
"22","588","2024-04-28 13:30:57","diego876","luis131@example.com","Reintento"
"23","757","2024-01-23 09:25:41","marco702","diego743@mail.com","Utilizado"
"24","524","2024-06-20 11:09:39","diego759","maria695@example.com","Cancelado"
"25","176","2024-01-24 11:08:31","fernando883","pedro522@example.com","Revocado"
"26","315","2023-04-01 16:18:14","diego772","luis560@test.com","Reintento"
"27","569","2024-03-24 13:35:13","roberto310","julia740@company.org","Cancelado"
"28","270","2023-11-18 15:33:52","monica766","pedro847@domain.com","Expirado"
"29","221","2023-09-15 20:12:51","pablo604","pablo750@example.com","Validado"
"30","32","2024-10-01 12:15:35","marco484","raul569@domain.com","Cancelado"
"31","9","2023-12-04 22:15:08","elena955","marco231@company.org","Validado"
"32","290","2023-11-24 02:32:37","pablo421","pablo981@example.com","Reintento"
"33","182","2024-08-29 20:07:41","luz731","raul458@domain.com","Reintento"
"34","893","2023-08-19 15:33:21","luz870","sara727@test.com","Reintento"
"35","195","2024-05-15 20:32:33","elena699","roberto798@mail.com","Expirado"
"36","391","2023-10-30 12:48:43","diego485","pablo243@example.com","Revocado"
"37","771","2023-11-05 21:38:13","marco343","marco350@domain.com","Pendiente"
"38","433","2023-01-27 07:28:46","carlos267","fernando988@domain.com","Expirado"
"39","265","2023-04-13 16:56:11","luz662","luz248@test.com","Reintento"
"40","661","2023-01-31 06:58:57","laura428","patricia538@test.com","Expirado"
"41","470","2023-12-29 06:43:33","maria858","ana486@mail.com","Revocado"
"42","478","2023-02-17 14:30:28","julia165","elena985@test.com","Validado"
"43","541","2023-10-03 00:50:05","luz773","julia362@test.com","Validado"
"44","446","2024-08-03 08:14:37","maria953","marco213@domain.com","Utilizado"
"45","686","2023-03-14 02:33:09","luz479","sara238@test.com","Validado"
"46","936","2024-05-09 08:30:14","monica150","isabel29@company.org","Pendiente"
"47","397","2023-12-24 10:02:33","luz904","luz678@company.org","Generado"
"48","744","2023-05-25 04:00:43","marco638","juan536@company.org","Revocado"
"49","210","2023-06-20 20:19:23","elena313","raul935@domain.com","Reintento"
"50","67","2024-11-24 12:19:06","julia601","sara178@test.com","Deshabilitado"
"51","926","2024-05-31 23:35:18","laura124","pablo87@company.org","Deshabilitado"
"52","257","2024-05-16 12:20:40","patricia362","monica122@mail.com","Validado"
"53","109","2024-07-24 03:53:51","ana304","ana863@test.com","Generado"
"54","532","2024-07-24 16:11:03","diego677","carlos452@example.com","Revocado"
"55","954","2023-02-09 22:51:07","isabel450","patricia325@example.com","Fallido"
"56","398","2023-11-24 22:18:58","luis755","marco768@example.com","Expirado"
"57","202","2023-04-04 01:24:23","raul758","raul921@mail.com","Deshabilitado"
"58","81","2023-05-21 02:13:51","sara336","fernando699@company.org","Deshabilitado"
"59","956","2023-11-16 00:44:26","maria159","luz733@test.com","Utilizado"
"60","20","2024-11-29 15:19:08","luz495","isabel131@example.com","Fallido"
"61","447","2023-05-20 00:12:41","maria747","patricia828@mail.com","Fallido"
"62","315","2023-01-05 09:35:43","juan187","luz376@domain.com","Expirado"
"63","571","2023-09-23 00:45:24","ana328","fernando340@example.com","Validado"
"64","800","2024-12-05 14:36:40","fernando142","carlos747@test.com","Pendiente"
"65","843","2023-10-12 02:19:53","fernando150","carlos563@domain.com","Pendiente"
"66","208","2023-12-27 21:02:48","luz922","ana707@company.org","Expirado"
"67","778","2024-05-29 15:33:10","roberto690","isabel794@domain.com","Validado"
"68","270","2024-10-13 08:22:36","julia161","pedro793@mail.com","Generado"
"69","898","2024-09-24 19:45:58","raul521","sara449@mail.com","Validado"
